subscriptionPlan,username,password,membershipID,customerFName,customerLName,birthDate,membershipStart,memberAt
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695129,Jayden,Mann,6/17/83,4/13/20,4473349916
Bronze,foxglovesince,bg4HTD2AdY,41804304,Hadassah,Webb,9/10/90,9/25/21,4473349916
Bronze,todaycycle,Nxivfp79ec,87997895,Nyah,Reeves,4/19/92,8/30/20,4473349916
Bronze,extremesausage,p3Ggw0hGDh,90350050,Annaliese,Pickett,5/22/02,2/19/21,4473349916
Bronze,farmcommotion,wYL3qYqrp9,72830032,Nikita,Chavez,10/4/93,12/19/21,3998678923
Bronze,ruffswithdraw,ZPCGl5oAzG,34556470,Aaminah,Bass,9/13/88,2/15/22,4473349916
Bronze,honeycombferocious,gL3J44Qax0,74025913,Morgan,Rollins,12/30/89,2/2/19,3998678923
Bronze,lanternpoliceman,yHWpkLCe0g,39608834,Hamish,Knight,12/29/99,2/29/20,3998678923
Bronze,oddballdependent,bOv22Gjnlv,84256776,Sufyan,Hartman,11/30/91,1/9/22,4473349916
Bronze,obviouscrystals,27IhNdz31x,36451103,Archibald,Peck,1/16/99,3/11/22,3998678923
Bronze,easternreading,cPC6IYZht6,53723275,Savannah,Jacobs,1/29/90,3/28/22,3998678923
Bronze,optimusprimebroccoli,5C3dKBwLgK,51236030,Katelin,Farrow,12/7/88,2/5/19,3998678923
Bronze,Irvingicesweetpotato,tIEa3wKySd,74807192,Irving,Hartman,12/29/88,4/23/20,4473349916
Bronze,Wilfcelerywilderness,19W4Gk2sSN,19177908,Wilf,O'Quinn,5/27/84,7/28/18,4473349916
Silver,Mohammaddeepimpact,WVr5ao90OZ,76039558,Mohammad,Olsen,9/19/00,1/30/22,3998678923
Silver,bladerunnerClyde,0R1B5ZxU8w,53369235,Clyde,Xiong,9/9/03,7/7/19,3998678923
Silver,blackberryDahlia,01P7MCngH3,50589783,Dahlia,Milne,6/29/84,11/5/21,3998678923
Silver,yogurtbeachsumaiyah,ES9dKJarES,24740735,Sumaiyah,Appleton,10/16/85,6/16/18,3998678923
Silver,sandwichcrystal,SRya8jL52b,82720930,Crystal,Gross,4/12/91,1/25/20,4473349916
Silver,poolnetsophia,o2x9KVqnNf,92596923,Sophia,Quintana,8/3/03,4/2/18,3998678923
Silver,grapefruitsaffa,h5YwIZl7Sx,82969957,Saffa,Chamberlain,5/27/03,7/8/19,3998678923
Silver,marlierosecheetah,1ccn4HZZFR,93846115,Marlie,Mueller,5/11/04,10/19/21,4473349916
Silver,cranberryireland,WxsOG4qnrx,62755947,Rosina,Ireland,11/19/92,10/10/20,3998678923
Silver,rockycasinoopal,oLTI9zCcBt,77106563,Opal,Roth,9/11/92,9/25/21,3998678923
Gold,cassandrawrestlinggolf,9szIr1I9Bs,22668595,Cassandra,Preston,12/6/87,2/16/20,3998678923
Gold,staceyceruleanfishroll,czzCRK69cU,93209265,Stacey,Hickman,4/14/91,3/8/21,4473349916
Gold,rushkiwiKatherine,M7ELyUtUkc,98670282,Katherine,Vazquez,2/21/96,9/30/21,3998678923
Gold,spectacularbatasa,qDzvOzdF8i,70280940,Asa,Dowling,10/10/85,1/28/22,4473349916
Gold,munozmeloneagle,YqtQZNL7bv,36605514,Billie,Munoz,10/14/82,8/16/21,3998678923
