subscriptionPlan,username,password,membershipID,equipID,subscriptionType
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695129,641925,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695129,770469,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695130,221428,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695131,836672,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695132,437999,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695133,386220,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695134,653592,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695135,100059,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695136,606220,Bronze
Bronze,fruitfulconclusion,Dk80tLgMOJ,82695137,112852,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804304,641925,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804305,770469,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804306,221428,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804307,836672,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804308,437999,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804309,386220,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804310,653592,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804311,100059,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804312,606220,Bronze
Bronze,foxglovesince,bg4HTD2AdY,41804313,112852,Bronze
Bronze,todaycycle,Nxivfp79ec,87997895,641925,Bronze
Bronze,todaycycle,Nxivfp79ec,87997896,770469,Bronze
Bronze,todaycycle,Nxivfp79ec,87997897,221428,Bronze
Bronze,todaycycle,Nxivfp79ec,87997898,836672,Bronze
Bronze,todaycycle,Nxivfp79ec,87997899,437999,Bronze
Bronze,todaycycle,Nxivfp79ec,87997900,386220,Bronze
Bronze,todaycycle,Nxivfp79ec,87997901,653592,Bronze
Bronze,todaycycle,Nxivfp79ec,87997902,100059,Bronze
Bronze,todaycycle,Nxivfp79ec,87997903,606220,Bronze
Bronze,todaycycle,Nxivfp79ec,87997904,112852,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350050,641925,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350051,770469,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350052,221428,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350053,836672,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350054,437999,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350055,386220,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350056,653592,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350057,100059,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350058,606220,Bronze
Bronze,extremesausage,p3Ggw0hGDh,90350059,112852,Bronze
Bronze,farmcommotion,wYL3qYqrp9,72830032,641925,Bronze
Bronze,farmcommotion,wYL3qYqrp10,72830033,770469,Bronze
Bronze,farmcommotion,wYL3qYqrp11,72830034,221428,Bronze
Bronze,farmcommotion,wYL3qYqrp12,72830035,836672,Bronze
Bronze,farmcommotion,wYL3qYqrp13,72830036,437999,Bronze
Bronze,farmcommotion,wYL3qYqrp14,72830037,386220,Bronze
Bronze,farmcommotion,wYL3qYqrp15,72830038,653592,Bronze
Bronze,farmcommotion,wYL3qYqrp16,72830039,100059,Bronze
Bronze,farmcommotion,wYL3qYqrp17,72830040,606220,Bronze
Bronze,farmcommotion,wYL3qYqrp18,72830041,112852,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556470,641925,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556471,770469,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556472,221428,Bronze
Bronze,ruffswithdraw,ZPCGl5oAzG,34556473,836672,Bronze
